time;LIDL BEŽIGRAD;ŠMARTINSKI PARK;SAVSKO NASELJE 1-ŠMARTINSKA CESTA;ČRNUČE;VILHARJEVA CESTA;MASARYKOVA DDC;POGAČARJEV TRG-TRŽNICA;CANKARJEVA UL.-NAMA;ANTONOV TRG;PRUŠNIKOVA;TEHNOLOŠKI PARK;KOSEŠKI BAJER;TIVOLI;TRŽNICA MOSTE;GRUDNOVO NABREŽJE-KARLOVŠKA C.;LIDL-LITIJSKA CESTA;ŠPORTNI CENTER STOŽICE;ŠPICA;ROŠKA - STRELIŠKA;BAVARSKI DVOR;STARA CERKEV;SITULA;ILIRSKA ULICA;LIDL - RUDNIK;KOPALIŠČE KOLEZIJA;POVŠETOVA - KAJUHOVA;DUNAJSKA C.-PS MERCATOR;CITYPARK;KOPRSKA ULICA;LIDL - VOJKOVA CESTA;POLJANSKA-POTOČNIKOVA;POVŠETOVA-GRABLOVIČEVA;PARK NAVJE-ŽELEZNA CESTA;ZALOG;CESTA NA ROŽNIK;HOFER-KAJUHOVA;DUNAJSKA C.-PS PETROL;STUDENEC;PARKIRIŠČE NUK 2-FF;BRATOVŠEVA PLOŠČAD;KONGRESNI TRG-ŠUBIČEVA ULICA;BS4-STOŽICE;GERBIČEVA - ŠPORTNI PARK SVOBODA;ŽIVALSKI VRT;VOKA - SLOVENČEVA;BTC CITY/DVORANA A;TRNOVO;P+R BARJE;ROŽNA DOLINA-ŠKRABČEVA UL.;KINO ŠIŠKA;BRODARJEV TRG;ZALOŠKA C.-GRABLOVIČEVA C.;DOLENJSKA C. - STRELIŠČE;ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA;SOSESKA NOVO BRDO;TRŽNICA KOSEZE;ALEJA - CELOVŠKA CESTA;MERCATOR CENTER ŠIŠKA;GH ŠENTPETER-NJEGOŠEVA C.;HOFER - POLJE;VIŠKO POLJE;BONIFACIJA;P + R DOLGI MOST;DRAVLJE;POLJE;SUPERNOVA LJUBLJANA - RUDNIK;SREDNJA FRIZERSKA ŠOLA;TRG OF-KOLODVORSKA UL.;TRG MDB;TRŽAŠKA C.-ILIRIJA;PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE;MERCATOR MARKET - CELOVŠKA C. 163;SAVSKO NASELJE 2-LINHARTOVA CESTA;BREG;BTC CITY ATLANTIS;IKEA;MIKLOŠIČEV PARK;BARJANSKA C.-CENTER STAREJŠIH TRNOVO;LEK - VEROVŠKOVA;AMBROŽEV TRG;VOJKOVA - GASILSKA BRIGADA;RAKOVNIK;PREGLOV TRG;PLEČNIKOV STADION
2022-10-12-18-55;4;3;9;7;7;9;4;12;19;16;3;0;17;3;0;19;8;1;2;9;11;5;8;12;0;17;2;7;4;1;3;1;5;6;0;9;4;2;0;5;4;11;9;2;1;16;3;11;2;18;16;0;12;13;14;9;13;4;1;10;1;15;16;4;11;10;2;14;0;1;16;3;6;0;17;11;5;8;0;3;1;16;16;0
2022-10-12-19-00;4;5;6;7;6;10;3;15;19;16;3;0;17;4;0;20;8;1;2;9;11;5;9;12;0;17;1;7;3;1;2;1;4;6;0;6;10;2;1;5;2;10;7;2;2;15;3;11;0;19;14;0;12;14;12;10;13;4;0;10;7;15;16;4;11;10;1;14;0;0;13;2;8;0;17;11;5;8;0;2;0;16;18;0
2022-10-12-19-05;5;5;7;8;5;10;1;16;19;15;3;0;17;5;2;20;7;2;2;8;11;5;7;12;0;17;0;8;3;1;1;1;4;7;0;6;11;2;1;5;0;10;7;2;3;15;4;11;0;19;9;1;12;14;12;11;12;4;2;10;7;15;16;4;11;10;1;14;1;0;13;2;8;0;16;10;1;8;0;1;0;16;18;1
2022-10-12-19-10;6;5;7;8;4;11;2;7;19;16;3;0;14;5;5;20;6;1;2;7;11;2;7;12;1;16;1;6;2;3;1;1;3;7;0;5;12;2;0;5;0;10;7;1;2;15;4;11;1;18;9;3;12;14;12;11;12;4;1;10;5;15;17;4;11;10;1;16;1;0;11;5;5;0;16;12;2;7;0;2;0;16;18;0
2022-10-12-19-15;4;5;7;8;6;10;2;7;19;17;3;0;14;6;5;14;4;0;4;7;14;0;5;12;1;17;0;4;2;2;0;0;5;7;1;6;10;2;1;6;0;10;7;9;3;14;4;11;6;18;9;3;12;13;13;11;12;5;2;10;5;15;17;4;11;11;1;18;0;0;10;5;6;1;16;12;1;7;0;0;0;16;18;1
2022-10-12-19-20;6;5;7;8;6;10;1;7;19;16;3;0;15;6;3;15;4;0;5;10;13;1;6;12;0;17;2;3;2;0;2;0;6;7;1;6;10;2;2;7;0;10;13;9;3;14;4;11;10;17;9;2;12;13;13;11;12;5;2;10;5;14;19;4;11;11;2;18;0;0;8;5;5;1;16;12;1;7;0;0;0;16;18;0
2022-10-12-19-25;5;6;7;8;4;10;0;5;19;16;3;0;14;9;1;15;8;1;5;10;12;2;3;12;0;11;2;3;2;1;0;0;6;7;3;6;12;1;2;7;1;10;14;9;3;15;5;11;11;19;9;3;13;14;13;10;13;7;1;10;4;13;19;4;11;11;1;19;0;1;8;3;3;1;16;9;2;8;0;0;0;16;19;2
2022-10-12-19-30;6;8;8;8;2;13;0;4;20;16;3;1;15;7;0;15;9;1;3;12;13;2;3;12;0;10;3;5;2;4;0;0;5;7;3;6;13;1;1;7;0;10;14;7;3;15;5;11;10;20;9;4;11;14;13;10;13;6;0;10;4;11;19;3;11;11;3;20;0;0;3;3;3;1;16;9;0;9;0;0;1;16;19;2
2022-10-12-19-35;7;9;9;8;1;13;0;0;19;15;3;1;16;7;2;15;6;1;2;12;13;3;3;12;0;10;2;3;2;6;0;2;4;7;3;6;13;1;0;7;3;10;14;6;3;12;7;10;11;20;9;5;11;14;14;10;15;6;1;10;4;10;20;3;11;11;2;21;1;1;4;6;3;0;16;6;2;9;0;1;1;16;19;2
2022-10-12-19-40;10;10;9;9;3;14;1;2;19;15;3;1;17;6;1;16;7;0;2;12;13;4;5;12;0;10;0;3;2;6;2;2;3;7;3;6;13;0;0;8;2;10;15;7;3;13;6;8;9;21;9;6;11;14;14;10;15;6;0;10;4;8;20;3;11;12;2;19;0;2;3;7;4;0;16;6;1;9;0;0;0;16;20;0
2022-10-12-19-45;11;11;9;9;2;17;1;1;20;16;3;1;19;6;1;17;6;0;2;11;13;5;4;12;0;10;1;3;0;6;2;2;3;7;3;8;13;0;1;8;2;10;14;7;2;12;6;8;6;23;9;6;12;14;15;10;12;4;0;10;4;7;20;3;11;12;2;18;0;1;4;7;4;0;16;5;1;8;0;0;0;17;20;0
2022-10-12-19-50;11;11;8;9;2;18;1;2;20;18;3;1;20;7;0;16;9;1;2;12;12;7;3;12;1;10;0;3;0;6;3;1;2;7;3;8;12;0;0;9;1;10;14;6;4;11;7;9;3;23;10;6;12;14;15;10;12;2;0;10;4;6;19;3;11;12;2;21;2;1;14;6;4;2;16;6;1;8;0;5;0;17;20;0
2022-10-12-19-55;10;10;8;9;2;18;3;3;20;18;3;1;19;8;0;16;9;1;0;13;13;8;3;12;1;10;0;4;0;7;2;1;2;7;4;9;12;0;2;8;1;10;13;6;4;11;9;9;3;25;10;6;12;13;16;11;11;2;3;10;4;8;20;3;11;12;1;19;2;0;20;7;1;1;16;6;2;10;0;3;0;18;20;1
2022-10-12-20-00;11;10;8;9;2;18;6;1;19;18;4;1;17;8;1;15;11;1;0;18;14;6;4;12;1;11;0;0;0;6;3;2;1;7;3;9;11;1;2;8;5;10;12;6;4;11;9;9;3;26;10;5;12;13;16;13;11;2;2;10;5;8;20;3;10;12;1;17;1;0;20;9;1;1;16;6;2;10;0;3;0;18;20;2
2022-10-12-20-05;11;11;8;9;0;18;7;0;16;18;4;1;19;8;2;15;11;0;0;18;13;6;5;12;1;11;0;0;0;6;4;2;1;7;3;9;11;1;1;8;5;10;10;6;3;8;9;9;1;26;11;4;12;13;16;13;10;2;0;10;5;8;20;3;10;12;1;23;2;1;18;10;2;2;14;6;2;10;0;3;0;18;19;2
2022-10-12-20-10;10;11;8;9;2;18;5;0;15;18;4;1;15;8;0;15;11;0;0;15;14;6;4;12;1;11;3;0;0;9;5;1;0;7;2;9;10;1;1;8;3;10;8;6;3;7;9;9;3;26;12;5;12;13;16;11;10;2;0;10;5;8;20;3;10;13;0;24;3;2;16;8;2;2;12;5;2;11;0;1;2;18;19;1
2022-10-12-20-15;8;11;8;9;0;17;4;0;17;17;3;1;18;9;1;15;10;0;0;11;14;6;6;12;2;11;4;0;0;10;5;1;0;7;2;10;11;1;0;8;2;10;7;6;5;7;9;9;4;26;10;4;11;12;16;11;9;2;0;10;5;8;20;3;10;13;0;21;1;3;15;11;0;2;14;6;1;11;0;1;3;20;19;1
2022-10-12-20-20;8;11;8;9;0;16;3;1;16;15;3;2;18;9;1;15;10;0;0;10;14;4;8;12;2;12;3;0;0;11;4;1;0;7;3;10;9;1;1;8;1;10;7;6;3;7;8;9;5;25;10;5;12;12;16;11;10;2;1;10;5;8;20;3;10;13;3;22;1;3;16;12;1;2;14;6;6;11;0;0;3;20;18;1
2022-10-12-20-25;8;14;8;9;1;17;3;0;15;15;3;2;18;9;1;15;10;0;0;8;14;6;8;12;2;12;2;0;0;10;5;1;0;7;2;12;8;2;0;8;0;10;5;6;3;6;9;9;6;26;10;5;12;12;16;11;12;2;4;10;5;8;20;2;10;13;4;22;1;3;12;13;1;2;14;6;6;11;0;0;4;20;18;2
2022-10-12-20-30;10;14;8;9;2;16;4;4;13;15;3;2;20;9;1;15;12;0;0;9;14;5;9;12;2;12;2;0;0;11;6;1;0;7;2;11;7;2;1;8;2;10;8;6;2;8;9;9;8;25;10;5;13;12;16;11;12;3;4;10;5;8;20;3;10;13;5;24;3;5;7;13;0;2;14;7;6;10;0;0;6;20;18;3
2022-10-12-20-35;10;14;8;9;2;16;3;5;13;15;3;2;19;9;1;15;12;0;1;8;13;3;9;12;2;13;2;0;0;10;6;2;1;7;2;11;5;2;0;7;2;10;13;6;2;8;9;9;7;26;10;3;13;12;16;11;14;3;3;10;5;8;20;3;10;13;5;24;3;4;6;16;0;2;14;7;3;10;0;0;6;20;17;4
2022-10-12-20-40;11;14;8;9;1;17;3;6;15;15;3;2;20;9;1;15;12;0;1;9;14;3;10;12;2;13;3;1;0;11;6;2;0;7;2;11;4;2;3;6;3;10;13;6;2;7;9;9;8;25;10;3;13;13;15;11;14;3;2;10;5;8;20;3;10;13;5;24;3;4;3;17;2;1;14;7;1;10;0;0;6;20;17;4
2022-10-12-20-45;10;14;9;9;0;16;2;6;18;15;3;2;20;10;1;16;13;0;1;8;14;2;13;12;2;13;3;0;0;12;5;3;0;7;1;12;4;2;3;6;3;10;12;6;2;6;9;9;8;26;10;5;13;13;15;11;12;3;1;10;3;8;20;3;10;13;5;24;2;4;2;18;2;1;14;7;2;12;0;2;8;20;17;4
2022-10-12-20-50;10;11;9;8;0;15;2;5;18;16;3;2;17;11;0;16;13;0;1;9;14;2;13;12;2;13;3;1;0;13;3;3;1;7;1;12;2;2;3;6;2;10;12;6;2;5;9;9;12;26;10;6;14;14;16;12;11;3;0;10;3;9;20;3;10;13;6;24;3;4;2;17;4;1;14;7;2;12;0;0;8;20;17;3
2022-10-12-20-55;10;11;9;8;0;14;2;6;19;15;3;2;16;10;0;16;13;0;0;7;14;2;12;11;2;13;4;1;0;14;4;3;1;7;4;12;1;2;1;6;2;10;12;6;2;5;10;9;12;26;10;7;14;14;16;12;11;3;2;10;3;9;20;3;10;13;6;20;3;6;0;18;3;1;14;7;2;12;0;2;7;20;17;4
2022-10-12-21-00;11;11;9;8;0;14;1;5;20;15;3;2;18;10;0;16;14;0;1;9;14;2;9;11;2;13;3;0;0;19;2;2;2;7;4;13;1;2;1;6;1;10;13;6;2;5;10;9;12;26;10;7;14;14;16;12;11;3;2;10;3;10;20;3;10;13;5;18;3;4;2;19;3;1;14;7;2;12;0;3;7;20;18;4
2022-10-12-21-05;12;11;9;8;0;14;1;5;19;16;3;2;18;11;1;16;14;0;1;9;14;1;8;11;2;13;3;0;0;18;4;6;2;7;4;13;2;2;1;7;1;10;13;6;3;5;7;9;12;25;10;7;14;14;16;11;9;6;2;10;3;11;20;3;10;13;5;19;4;3;2;20;3;1;14;7;2;12;0;3;6;20;18;3
2022-10-12-21-10;10;11;9;8;2;14;1;4;19;16;3;2;19;12;3;16;14;0;1;7;14;1;8;11;2;13;3;0;0;19;3;6;1;7;3;13;3;2;1;7;0;10;13;6;3;5;6;9;13;26;10;7;14;14;16;11;9;6;1;10;3;11;20;3;10;13;5;17;5;4;0;19;2;1;14;7;2;12;0;3;7;20;18;2
2022-10-12-21-15;10;11;9;8;0;14;3;2;20;16;3;2;20;12;4;16;14;0;1;8;14;2;10;11;3;13;6;0;0;20;4;6;1;7;3;14;3;2;1;7;2;10;13;6;3;5;6;9;10;26;10;7;15;14;16;11;9;6;1;10;3;11;20;3;10;13;6;17;6;5;1;20;3;1;14;7;2;12;0;3;7;20;18;4
2022-10-12-21-20;10;11;9;8;0;14;1;0;20;16;3;3;20;12;4;16;15;0;1;7;14;1;11;11;3;13;5;0;0;20;4;6;1;7;2;13;1;2;2;7;1;10;13;6;3;5;6;9;6;26;10;7;17;14;16;10;10;6;0;10;3;11;20;3;10;13;7;14;6;6;1;20;3;1;13;7;2;12;1;5;7;20;18;4
2022-10-12-21-25;10;10;10;8;0;14;2;1;19;16;3;3;20;12;3;17;15;0;3;8;14;1;11;11;3;13;5;0;0;20;3;5;1;7;0;13;0;2;2;7;0;10;13;6;4;5;7;9;9;26;10;8;17;14;16;9;10;7;0;10;3;11;20;3;10;13;5;13;6;5;3;20;3;1;13;7;3;12;1;5;8;20;18;3
2022-10-12-21-30;10;10;10;8;0;15;2;1;18;16;3;3;20;12;3;17;14;0;3;7;13;1;11;11;2;13;7;0;0;20;3;5;2;7;0;13;0;2;0;7;0;10;15;7;4;5;7;9;9;26;10;7;17;14;16;10;10;7;0;10;3;11;20;3;10;13;5;13;6;5;3;20;3;2;13;7;2;12;1;2;9;20;18;4
2022-10-12-21-35;9;11;10;8;1;17;2;1;14;16;3;3;16;11;3;17;14;0;3;6;13;1;11;11;2;14;8;0;0;20;2;7;2;7;0;13;1;3;0;8;1;11;14;7;4;5;7;9;10;24;9;7;17;14;16;10;12;7;0;10;4;11;20;3;10;13;5;11;8;6;2;20;3;3;13;7;3;13;1;1;9;19;18;3
2022-10-12-21-40;10;11;10;8;0;17;2;2;15;16;3;3;16;13;3;18;14;0;3;6;11;0;11;11;2;14;8;1;0;17;2;7;2;7;0;13;0;3;0;7;2;11;16;7;4;5;9;9;13;25;9;7;17;14;15;10;12;7;1;10;4;11;20;3;10;13;5;12;11;6;3;19;3;4;13;7;2;13;1;1;11;19;19;3
2022-10-12-21-45;11;11;10;8;1;17;2;2;15;16;3;3;15;13;3;18;14;0;3;6;11;0;10;11;2;14;9;1;0;17;2;7;1;7;0;13;0;3;0;6;0;11;15;7;4;4;9;9;15;25;9;6;17;14;15;10;11;7;2;10;4;11;20;3;10;14;6;11;14;8;0;19;4;5;13;7;2;13;1;1;12;19;19;3
2022-10-12-21-50;10;11;10;8;1;17;0;3;15;16;3;3;12;13;3;18;14;0;3;6;12;0;12;11;2;14;10;2;0;16;3;7;2;7;0;12;0;3;1;6;0;11;16;7;4;3;9;9;16;26;9;6;17;14;15;11;11;7;2;10;4;11;19;3;10;14;6;11;14;8;0;19;4;4;13;7;1;14;1;1;10;19;19;2
2022-10-12-21-55;9;11;10;8;1;17;0;3;15;16;3;3;12;13;2;18;14;1;3;4;12;0;12;11;2;15;9;2;0;14;2;6;2;7;0;13;0;3;1;6;1;11;16;7;4;3;9;9;16;26;9;6;17;14;16;11;11;7;0;10;4;11;18;3;10;14;6;10;14;7;1;20;5;6;13;7;1;14;1;2;10;19;19;2
2022-10-12-22-00;6;12;10;8;1;17;0;5;15;16;3;3;10;13;2;18;15;0;2;2;12;0;12;11;2;15;9;1;0;14;2;6;2;7;1;13;0;3;1;6;1;11;16;7;4;3;10;9;18;26;9;8;17;14;17;11;11;7;0;10;4;11;18;3;10;14;7;9;16;7;0;20;4;6;13;7;1;14;1;2;12;19;19;2
2022-10-12-22-05;6;12;10;8;1;18;0;6;15;16;3;3;8;13;0;18;13;0;2;4;12;0;11;11;2;15;9;1;0;15;2;6;2;7;3;13;0;3;0;6;1;11;16;7;4;3;10;9;17;26;9;8;17;15;17;11;11;7;0;10;4;11;18;3;10;14;7;7;19;7;0;15;4;6;12;7;1;14;1;2;12;19;19;2
2022-10-12-22-10;6;12;10;8;1;18;0;0;15;16;3;3;10;13;0;17;10;2;0;4;11;0;9;11;2;15;9;0;0;17;2;6;2;7;3;14;0;3;1;5;1;11;16;7;4;3;10;9;17;25;9;10;17;15;17;11;12;7;2;10;4;12;18;3;10;14;7;7;19;7;0;14;3;6;10;7;1;14;1;1;10;19;19;0
2022-10-12-22-15;5;13;10;8;1;18;0;0;15;16;4;3;10;13;0;18;8;2;1;3;13;2;10;11;2;15;9;0;0;17;2;6;2;7;5;14;0;3;2;5;0;11;16;7;3;3;10;9;18;24;10;10;17;15;17;11;12;7;5;10;4;13;18;3;10;14;7;8;19;8;0;14;4;6;8;7;1;13;1;1;14;20;18;0
2022-10-12-22-20;6;13;10;8;0;18;0;0;15;16;4;3;10;13;0;19;7;2;2;2;13;2;10;11;2;15;9;0;0;14;2;5;2;7;5;14;0;3;1;5;0;11;16;7;3;3;10;9;15;23;10;11;17;16;17;11;12;7;5;10;4;14;18;3;10;14;6;6;19;8;0;14;4;5;8;6;1;13;1;1;13;20;18;0
2022-10-12-22-25;6;13;10;8;0;18;0;5;15;16;4;3;10;14;0;19;7;2;3;2;13;1;10;11;2;15;8;0;0;14;2;5;3;7;5;14;0;3;2;6;0;11;16;7;3;3;10;9;14;23;10;12;18;16;17;11;12;7;7;10;4;14;17;3;10;14;4;7;19;8;1;14;3;5;7;6;0;13;1;1;13;20;18;0
2022-10-12-22-30;6;13;10;8;0;18;0;4;16;16;4;3;8;14;0;19;7;2;1;2;13;1;11;11;2;15;8;0;0;16;1;5;2;7;5;14;0;3;2;6;0;11;15;7;3;3;10;9;14;26;10;12;18;16;17;11;12;7;7;10;4;14;17;3;10;14;4;7;17;9;1;13;3;5;7;6;0;13;1;1;14;20;19;0
2022-10-12-22-35;6;14;10;8;1;18;0;2;16;16;4;3;8;14;0;19;7;2;1;1;14;1;9;11;3;16;6;0;0;16;1;5;2;7;5;14;0;3;2;6;0;11;16;7;3;1;10;9;14;26;10;12;18;16;17;11;12;7;7;10;4;14;17;3;10;14;5;7;17;9;1;13;4;5;7;6;0;13;1;2;14;20;19;2
2022-10-12-22-40;6;13;10;8;1;18;0;0;15;17;4;3;7;14;1;19;7;2;1;1;14;1;9;11;3;16;5;0;0;15;0;5;1;7;5;15;0;4;2;8;3;11;15;7;3;1;10;10;16;24;10;12;18;16;17;11;12;7;7;10;4;14;17;3;10;13;4;6;17;9;1;11;3;5;7;6;0;11;1;2;14;20;19;2
2022-10-12-22-45;4;13;10;8;1;18;0;0;15;17;4;3;10;14;1;19;7;2;1;3;13;3;9;11;3;15;6;1;0;15;1;5;1;7;5;16;0;4;2;8;1;11;17;7;4;1;10;10;16;24;10;12;18;16;17;11;13;7;7;10;4;14;17;3;10;14;5;6;19;12;0;12;3;6;6;6;0;11;1;2;16;20;19;2
2022-10-12-22-50;3;13;10;8;0;18;0;0;15;17;4;3;10;17;0;19;7;2;0;2;13;2;10;11;3;15;6;1;0;14;1;5;1;7;5;18;0;4;2;8;0;11;17;7;4;1;10;10;16;23;10;13;19;16;17;11;13;7;6;10;4;14;17;4;10;14;5;5;19;13;0;12;6;5;6;6;1;11;1;2;15;20;19;3
2022-10-12-22-55;3;14;10;8;0;17;0;0;15;18;4;3;10;19;0;19;7;3;0;1;14;2;10;11;3;15;6;1;0;15;1;5;1;7;5;18;0;4;1;8;0;11;12;7;4;1;10;10;16;24;10;13;19;16;17;11;12;8;5;10;4;14;17;4;10;14;5;4;19;12;1;12;3;3;6;6;0;11;1;2;17;20;19;3
2022-10-12-23-00;3;14;10;8;0;17;0;0;15;18;4;3;10;20;0;19;7;3;0;1;14;2;10;11;3;15;7;1;0;16;1;5;1;7;4;18;0;4;0;5;3;11;13;7;4;1;10;10;16;24;11;13;19;16;17;11;12;8;5;10;4;14;17;4;10;14;5;5;18;15;0;12;3;2;6;6;0;11;1;2;17;20;19;3
2022-10-12-23-05;2;14;10;8;0;18;0;0;15;18;4;3;10;21;0;19;7;3;0;0;14;2;9;11;3;15;8;1;0;18;1;5;1;7;4;18;0;3;0;5;1;11;12;7;4;1;10;10;13;24;11;13;19;16;17;11;12;8;5;10;4;14;17;4;10;13;5;4;16;16;1;12;2;3;6;6;0;11;1;1;17;20;19;2
2022-10-12-23-10;2;15;10;8;0;18;0;0;15;18;4;3;9;21;0;19;7;3;0;0;14;2;9;11;3;15;8;1;2;19;3;5;1;7;4;18;0;3;0;6;5;11;12;7;4;1;10;10;12;24;11;13;19;16;16;11;12;8;4;10;4;14;17;4;10;13;5;4;18;16;1;12;2;1;6;6;0;11;1;0;17;20;19;3
2022-10-12-23-15;0;15;10;8;0;17;0;3;15;18;3;3;9;21;0;19;8;3;0;1;14;2;10;11;3;15;8;1;2;20;3;5;0;7;4;18;0;3;1;6;2;11;12;7;4;1;10;10;14;21;12;14;20;17;16;11;10;8;4;10;4;14;18;4;10;13;5;3;17;16;1;12;1;1;5;6;0;12;1;0;18;20;19;2
